,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
456433,Spuistraat 175 Amsterdam City Center 1012 VN Amsterdam Netherlands,8.4,W Amsterdam, The property is very dingy the floor lobby is very dark and shady we had 4 rooms including one suite and none faced outside so there was limited external light it was facing the internal atrium The rooms were very small and in the endeavour to make it contemporary and modern some basics and warmth were missing the only highlight would be location they have a nice bar on the top floor but overall for the price wouldn t recommend ,No Positive,5.0,"[' Leisure trip ', ' Group ', ' 3 rooms ', ' Stayed 4 nights ']",52.372787100000004,4.8900059,2017-07-31
456647,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,8.2,NH City Centre Amsterdam, Ridiculous slips being posted under the door informing us we were coming close to the limit on more than 1 occasion Spending that much money on a hotel room for 3 nights I would not expect to have to be insulted that much , Excellent hotel in general lovely room and great staff Very clean and fresh in a beautiful area ,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",52.3697554,4.8887815,2017-02-08
457425,St James s Place Westminster Borough London SW1A 1NJ United Kingdom,9.1,The Stafford London, The room wallpaper is from a day gone by but adds to the charm of the experience I suppose , Absolutely 5 star service from the moment we walked in The entire experience room restaurant bar staff was elegant without being pretentious If you want to do Central London you couldn t have nicer more convenient accommodations Not sure how big The Stafford is but it has a very quiet and boutique presence in the middle of London The bed and the bathroom were to die for ,10.0,"[' Leisure trip ', ' Couple ', ' Classic King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.505908700000006,-0.14037950000000002,2017-02-08
457625,St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,8.6,The Tower A Guoman Hotel, The room I paid for a room with a bridge view but this was a limited view The room was quite small and the window was tiny We were right in the corner and our window looked right into the next room which was occupied , The location of the hotel is really good as you have plenty of tourist attractions around and some very nice restaurants ,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Bridge View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5064721,-0.0716893,2017-03-08
459453,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,8.2,Ramada Apollo Amsterdam Centre, I had to ask for another room the first one we got smelled like smoke and there is no way to open a window to air it There is no way to eat something in the hotel between 10 00 and 12 00 Breakfast closes at 10 rooftop restaurant only opens at 12 00 Not a big problem of course but if you re hungry , The room was large enough and practical ,7.1,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 4 nights ']",52.3681299,4.8440847,2017-03-08
461157,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,8.1,Amsterdam Marriott Hotel, Poor service at the restaurant and confusing charging of wifi, Location was awesome Cleaning crew did a great job Front Desk staff were very friendly and helpful,8.8,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",52.362514000000004,4.8800077,2017-03-08
461546,Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,8.3,Park Hotel,No Negative, The staff were very friendly and helpful which made the stay even better My partner and I were given a free room upgrade when we arrived and the room was gorgeous the bed was unbelievably comfortable which is always a bonus the views from the room were lovely as well room was cleaned very well each day we were there I could not fault this hotel at all ,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",52.3613814,4.8832594,2017-07-25
462182,Stadhouderskade 7 Oud West 1054 ES Amsterdam Netherlands,7.7,NH Amsterdam Centre, Stayed at this hotel three years ago and had a fantastic stay that s why I didn t mind paying over 700 pound this time around for only four nights That is a lot of money to spend on a room for a short stay Phoned room service which is meant to be 24 7 and theh had nothing to eat so actually had to phone a take away service for food as the mini fridge did not get re stocked or did the coffees and teas for the room Phoned down for extra and there was none Facilities just weren t good this time at all When paying that amount of money for a good hotel you expect to have coffee in the room and room service when it says Don t think I ll be staying again as even the staff were rude when complainging polity when I was checking out The amount of money I spent and all they could offer me was a free breakfast buffet if I stayed again when I couldn t even order myself food when I was there in the first place , Location is excellent,6.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",52.3630682,4.879445099999999,2017-07-30
462577,Stephansplatz 12 01 Innere Stadt 1010 Vienna Austria,9.0,DO CO Hotel Vienna, The lobby and reception area are not private for the guest not feel like enter into the hotel but in the fine dining restaurant or expensive club which anyone can access to the hotel We expected silent and private space when we enter into the lobby although the hotel was located in the shopping centre and crowed outside , Location,7.5,"[' Leisure trip ', ' Group ', ' Double Room with Courtyard View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.2082385,16.3715725,2017-07-18
462731,Stephansplatz 9 01 Innere Stadt 1010 Vienna Austria,9.3,Hotel Am Stephansplatz, Nothing , I liked everything about this hotel one of the nicest I have ever stayed in Attention to detail for the comfort of the guest was evident The breakfast was superb and the location could not be beaten Highly recommended ,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room with Landmark View ', ' Stayed 5 nights ']",48.2087646,16.3721138,2017-07-15
462866,Strand Westminster Borough London WC2R 0EU United Kingdom,9.4,The Savoy, No shelves or space in the bathroom for my own cosmetics make up etc Laid them out on toilet seat Windows didn t open , The bed was amazing very large and comfy Loved the extra little touches like the fruit delivered to the room dressing gowns and slippers All the staff were very helpful and efficient but also very friendly and approachable Great location ,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ']",51.5111922,-0.11940060000000001,2017-11-07
463406,Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,8.4,The May Fair Hotel,No Negative, As always the staff were super Friendly welcoming and helped out re extra things I needed All with a smile Fabulously comfy bed and great air con it was a muggy night Highly recommend when I can afford it ,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 1 night ']",51.5078943,-0.1436707,2017-07-20
464206,Stubenring 2 01 Innere Stadt 1010 Vienna Austria,7.7,Best Western Hotel Pension Arenberg Wien Zentrum, The hotel is a bit dated Our bathroom needed a few repairs loose tiles on floor because grout had fallen out and the upholstery on the chairs and sofa could use some cleaning or replacement Other than that it s a great place to stay at a great price , This is a lovely little hotel in a great location The staff are beyond helpful and professional they went out of their way to accommodate any request We stayed in two rooms we asked to be moved because I wanted a room with a bathtub Both rooms were very spacious with a sitting area more like a junior suite than a standard room and both were well appointed The breakfast was quite good with a generous variety of foods It is an exceptional value for the money ,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",48.210735799999995,16.382147,2017-07-23
464405,Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,9.1,Hotel Stefanie, Nothing, The hotel is in amazing condition for its age The lobby has interesting item to look at The staff were ALL part of the great stay and I do mean ALL the staff Breakfast was the best Excellent would be an understatement ,9.2,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.2142766,16.3801779,2017-02-08
465289,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,8.6,Hotel City Central, The room this second time was a little sad but it is very clean The first time we had a corner room on the 5th floor and it was bigger with a view This time I asked for a room with view of the courtyard and it was a smaller room overlooking the glass roof to the breakfast room , This is our second time in this hotel The location breakfast and staff are great Mr Marco at reception is an exceptional host and goes way above and beyond the routine The breakfast is exceptional in all aspects I would recommend this hotel and would return again ,8.8,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Double Room with Courtyard View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",,,2017-07-30
465852,The Strand Westminster Borough London WC2N 5HX United Kingdom,9.3,Amba Hotel Charing Cross, Everything was wonderful except some of the reception staff seemed a bit snooty at times However perhaps I m spoiled to Asian hotels I live in Singapore where in general reception staff seem to smile more , Main reason for wanting to stay there was next door to tube and Trafalgar Square Couldn t have been happier I ll stay there again I wasn t able to try restaurant but I had room service and the food was delicious ,9.2,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.508236,-0.12619629999999998,2017-03-08
466637,Tiefer Graben 14 20 01 Innere Stadt 1010 Vienna Austria,8.9,Hotel Das Tigra, Breakfast wasn t included and price was 20 euros which was a little too expensive in my opinion, Comfy bed with lovely comforters Nicely updated rooms Construction across the street but quiet at night Staff were very kind ,7.5,"[' Leisure trip ', ' Couple ', ' Special Offer Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.212177200000006,16.3680771,2017-07-27
466995,Tilling Road London NW2 1LP United Kingdom,7.9,Holiday Inn London Brent Cross, That I asked for a room that was quiet if poss but was put in a family room with just a communal door between me and a group of youths who decided to have a party of sorts went to reception and made several complaints worst stay ever at a hotel,No Positive,4.2,"[' Business trip ', ' Family with young children ', ' One Bed Feature Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5731061,-0.22333320000000004,2017-02-08
467428,Tower Bridge Road Southwark London SE1 3UN United Kingdom,8.3,Bermondsey Square Hotel A Bespoke Hotel, Nothing you are near the south bank tower bridge Borough Market , The hotel is brilliant we had a terrace The area is very relaxing A nice community The staff were amazingly helpful A cinema is 20 yards away There is a market there once a week I shall try to stay there every time I go to London It was like living in London staying there The room was very modern and well designed I have never raved so much about a hotel before Please stay there if you can ,9.2,"[' Business trip ', ' Couple ', ' Double Room with Terrace ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",51.4991134,-0.0790969,2017-03-08
467827,Trabrennstra e 4 02 Leopoldstadt 1020 Vienna Austria,8.7,Courtyard by Marriott Vienna Prater Messe, Didnt really have many good restaurants nearby but there is bakery just around the corner if you want a different breakfast from the hotel , Breakfast spread every morning was delicious with options to custom order eggs any way you want to Cafe machine produced some great cappuccino and cafe latte The rooms were standard size and big enough to put luggage and still have space to walk around The views from the room were not bad Room service was thorough with their cleaning and did a splendid job ,10.0,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ']",48.2130607,16.4133973,2017-07-24
468018,Travessera de les Corts 150 152 Les Corts 08028 Barcelona Spain,8.1,NH Barcelona Stadium, The price of breakfast was expensive the restaurant in evening it felt like staff didn t want to serve so we went elsewhere , The cleanliness of the rooms were excellent and the whole hotel Staff also tried there best to help you as much as they could with information ,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",41.381257399999996,2.1269077999999997,2017-04-07
468194,Ungargasse 60 03 Landstra e 1030 Vienna Austria,8.1,Imperial Riding School Renaissance Vienna Hotel, This is the only real negative the bedrooms need redecorating ours had wallpaper peeling off the walls in several places and so did some of the rooms for other members of our party , The public areas of the hotel are excellent There is an inside restaurant and also an outdoor eating and drinking area There is an indoor pool and a garden area for sunbathing There is also a sauna steam room and gym which are all free for hotel guests We found all staff to be very customer focused ,7.9,"[' Business trip ', ' Group ', ' Double or Twin Room ', ' Stayed 10 nights ']",48.1966396,16.3863822,2017-01-08
468461,Uraniastra e 2 01 Innere Stadt 1010 Vienna Austria,8.1,Aparthotel Adagio Vienna City, I was expecting maybe a little more for the price but i guess this is a general issue of the hotels in Vienna Room was dark and view was on the back on the inside ring of the building with view to other windows , Rooms were fine but was expecting a little more for the price Staff was friendly Position was close to city center and lot of transportation options were available Room had a big fridge and possibility to heat up food or even prepare it if that s needed ,5.8,"[' Leisure trip ', ' Couple ', ' Studio ', ' Stayed 1 night ']",48.2110845,16.3838405,2017-07-31
468773,V a Augusta 127 Sarri St Gervasi 08006 Barcelona Spain,8.0,Mercure Barcelona Condor,No Negative, Extremely clean modern massive room and bed great awesome modern bathroom breakfast yum Much much more bigger room than pic show Staffs super helpful nice especially Miguel and lady at Reception will stay again here next time ,10.0,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",41.3999934,2.1452467,2017-01-08
468819,V a Laietana 69 Ciutat Vella 08003 Barcelona Spain,9.3,H10 Cubik 4 Sup, , Excellent location Very clean rooms Delicious breakfast including local food Smart industrial design A very good option for a city break in the middle off the town ,9.6,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",41.388024,2.1731556,2017-07-29
469201,Valencia 157 Eixample 08011 Barcelona Spain,8.2,Sunotel Club Central, My son insisted watching cartoons in Spanish on the tv could not find any decent channels in English , Good location if you want to travel all around Barcelona and not just head to the beach area Bus stops close by and good food Staff fantastic and really helpful The room was clean smart and had all that s required but is on the small side Pool and jacuzzi area small but lovely and towels are provided ,7.1,"[' Leisure trip ', ' Family with young children ', ' Basic Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",41.38793,2.1568061000000003,2017-02-08
469602,Van Baerlestraat 27 Oud Zuid 1071 AN Amsterdam Netherlands,9.2,Conservatorium Hotel, The breakfast is really expensive unless you have it included in your room fare Two coffess and 2 scrambled eggs for 40 euros , The room was large and fantastic Staff was very helpful Sauna and swimming pool are definetly a plus after a day walking around the city ,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",52.358631,4.8786236,2017-07-30
469740,Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,7.8,NH Amsterdam Zuid,No Negative, It was a really nice stay at NH Amsterdam Zuid the staff are extremely helpful and friendly with special thanks to Roxanne who was very informative I just wished that the hotel had allowed early check in without a charge like most hotel especially since the room was already available Very convenient 10 mins walk to tram and metro which went into Central and within walking distance to a new Geraldplien shopping mall with lots of restaurants unfortunately we only discovered on our last day Also within walking distance to Amstel Park which was great for kids ,7.9,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 4 nights ']",52.3266672,4.880088400000001,2017-03-08
469969,Via A de Tocqueville 7 D Garibaldi Station 20154 Milan Italy,8.6,Hotel Tocq, Wifi was a bit weak and you would be logged out if your not using for a couple minutes , Location of the hotel is top Close to underground and public transit and if you prefer a cab the hotel will call and they always arrived in less than 5min The breakfast selection was amazing organic yogurt fresh honey direct from the bees nest even a juicer an many more standard breakfast options Clean rooms helpful and friendly staff made this an excellent stay ,9.2,"[' Leisure trip ', ' Family with young children ', ' Classic Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.4828787,9.186346,2017-01-08
470003,Via Albricci 2 4 Milan City Center 20122 Milan Italy,9.0,The Square Milano Duomo,No Negative, We loved The Square Milano Duomo hotel Found it on Booking com didn t know a thing about it and we were thrilled Building recently renovated from apartments to hotel modern trendy handy to all the sights 10 minute walk to fabulous Duomo Great Find Service was helpful and friendly Breakfast was fantastic and ambience perfect Very hard to find a hotel of this standard for such a fair price ,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']",45.4608604,9.189021499999999,2017-03-08
470902,Via Andegari 9 Milan City Center 20121 Milan Italy,9.2,Mandarin Oriental Milan, The hotels traditional restaurant recommendation Solferino may look traditional but food was average 100 tourists everything is charged as an extra and prices at least triple of that in a really good restaurant in Milan Felt completely ripped off and sent to a tourist trap I am happy to pay but was not worth the money at all Spent half the price the night before at a top milan restaurant with wine Will not go to Restaurant Solferino again , Bed seriously comfy Stunning flowers everywhere ,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.46947720000001,9.190932499999999,2017-02-05
470936,Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,8.6,Art Hotel Navigli, I had a room on 3rd floor just below the breakfast restaurant The noice was so loud from chairs moving around and people walking and talking that it was impossible to sleep once the breakfast was open Furthermore we were not informed that the aircondition didnt work in our room So i had to call the reception 03 00 am in the night at which point the room was very hot After calling the reception 3 times some one finally picked up and just turned on the air condition and then hung However we still couldn t adjust the temperature meaning that we both got a cold It seemed to me that you knew that the aircon was turned off and didn t work but didn t bother to tell us Last but not least i was locked in the bathroom for 45 minutes just before leaving the hotel and going to the airport The effort from the personel to get me out wasnt exactly very impressive Had to kick the door open after the 45 minutes in order to catch my flight That resulted in a injured foot for the following days The keys were removed from the other bathroom stalls including the girls which go me thinking that this had been a problem before All this would have been okay if I was simply informed and at least compensated in some way But there was only a sorry , The location is great and the spa sauna and gym facilities were nice ,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",45.4501306,9.1696481,2017-03-08
471302,Via Augusta 5 08006 Barcelona Spain,8.3,Hotel Balmoral, Very bad wi fi connection Very expensive breakfast with not much choice , Good value for money Central location Good amenities in the bathroom Spanish brand Ritual Comfortable pillows,7.1,"[' Leisure trip ', ' Group ', ' Interior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",41.3961294,2.1551626,2017-03-08
471442,Via Baracchini 12 Milan City Center 20123 Milan Italy,8.3,Brunelleschi Hotel, The shower area was a bit small and water easily leaked onto the floor , Hotel staff were very efficient Rooms were very clean Breakfast was excellent with a very good choice of foods ,8.8,"[' Leisure trip ', ' Family with young children ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.461177,9.191047,2017-07-29
471986,Via Camperio 9 Milan City Center 20123 Milan Italy,8.9,Camperio House Suites Apartments,No Negative, We had an apartment no 35 and it has a largest terrace in the hotel View is to EY company building but even though there is a space for privacy Breakfast was ok not too big but enough Very good coffee Personal was a perfect ,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ']",45.466598,9.183064,2017-07-24
472137,Via Carlo Goldoni 33 Citt Studi 20129 Milan Italy,8.2,TownHouse 33, It was a little far away from the center , The room hat 2 bathrooms and was very very spacious It was everything you could ask for and a lil extra on top Breakfast was very nice at a very big table where you could eat together with other guests and felt like a meal at grandmas Overall very impressed and very satisfied Would totally come again if I were to visit Milan again ,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ']",45.4693349,9.2142383,2017-06-20
472256,Via Cimarosa 6 Fiera Milano City 20144 Milan Italy,8.3,Hotel Capitol Milano, Breakfast should be improved , Good hotel for short business trip Room shoes and a hair conditioner were equipped Parking was extremely difficult to enter but hotel staff kindly assisted us ,8.8,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.4661781,9.1588367,2017-04-06
472322,Via Clerici 11 Milan City Center 20121 Milan Italy,9.0,Hotel Clerici, AC was not on when we arrived in the room We were shown to the room so the staff had the opportunity to turn it on properly This was not done When we asked they turned it on but it did not work properly so the room was too hot to be comfortable Furthermore the noise from the street is fairly high , Breakfast and location very good Friendly staff but not high performing in terms of making sure the room is in perfect shape ,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.4667717,9.187100099999999,2017-03-08
472433,Via Cusani 13 Milan City Center 20121 Milan Italy,8.8,UNA Hotel Cusani, I did not appreciate the fact that my room was not ready I had an early check in but I am sure there were a lot of rooms that are ready and could have been assigned to me There were a couple of people who checked in the same time I did and were given their rooms No issue of early check in I was extremely tired I have been to busier hotels and had early check in with no problems ,No Positive,7.9,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ']",45.4684251,9.183416099999999,2017-01-08
472697,Via De Amicis 32 Milan City Center 20123 Milan Italy,7.5,Hotel Pierre Milano, On arrival there was a very friendly gentleman who assisted with our baggage and parking but unfortunately not when we checked out and were in a hurry for the airport , Excellent location walking distance to Duomo and to the very lively Navigli neighbourhood The rooms are comfortable and updated breakfast is excellent and the staff was courteous if perhaps a little stiff The hotel itself is not very large and has no spa or fitness facilities which I would have expected of a 5star but it had everything that you require and the accommodations are more than adequate I would recommend and I would definitely return ,9.2,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",45.4595203,9.1770004,2017-01-08
472764,Via Dei Fontanili 26 Ripamonti Corvetto 20141 Milan Italy,7.8,MiHotel, That they blocked the value of money toice Once when l made the reservation by booking con Then when l arrived they also took my card and took money even l show them that l got 2 sms from bank says that money was taken 2 times, Parking Clea,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.4405621,9.1921165,2017-07-14
472786,Via dell Orso 7 Milan City Center 20121 Milan Italy,8.8,Hotel Milano Scala,No Negative, A beautiful hotel with a perfect location All main sights within walking distance Staff very friendly and helpful Breakfast was always fresh with a good variety to choose from Enjoyed the view from the roof terrace ,9.2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",45.4689376,9.1868891,2017-03-08
473049,Via della Giustizia 10 D Bicocca Zara 20125 Milan Italy,7.5,IH Hotels Milano Gioia,No Negative, Fresh fruit and water upon arrival at no extra cost Large wardrobe leading into spacious bathroom Aircon Close to bus stops and short journey into town,7.5,"[' Business trip ', ' Couple ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.499520000000004,9.206138000000001,2017-07-30
473472,Via delle Erbe 1 Milan City Center 20121 Milan Italy,7.7,Style Hotel, Rooms are quite small no bath in a standard room just a shower Poor or no window view again from the standard room , Amazing rather small boutique hotel Really unusual stylish interior Good location around 10 15 mins walking to Duomo Very kind and helpful stuff helped me to receive my package in advance dryclean my things and gave many advices on how to make my journey the most comfortable while in Milano Good shower and bathroom,9.2,"[' Leisure trip ', ' Couple ', ' Exclusive Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.4708973,9.1840992,2017-07-30
473542,Via Domenico Scarlatti 24 Central Station 20124 Milan Italy,8.3,Andreola Central Hotel, We asked for an iron board multiple times and never got it , Breakfast was excellent We had issues with the air conditioning in our room and we got the suite which was large and comfortable ,9.2,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",45.4836517,9.2078581,2017-07-28
473742,Via Domenico Scarlatti 32 Central Station 20124 Milan Italy,8.0,Hotel Bristol, The staff could look happier and nicer Breakfast the ham was in plastic boxes This is Italy I was expecting some fresh ham And when I asked for a second cuf of coffe the waiter seemed annoyed , Very good location a 5 minute from the central station The staff was nice enough ,8.8,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.4845769,9.206525599999999,2017-06-07
473815,Via Domodossola 16 Fiera Milano City 20145 Milan Italy,7.3,Admiral Hotel, A bit noisy when staying in the room facing the crossroad, Very convinient location next to the metro and train Nice green residential district Staff was helpful,7.1,"[' Leisure trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 1 night ']",45.480515000000004,9.160063000000001,2017-06-15
473841,Via Fabio Filzi 25 B Central Station 20124 Milan Italy,8.6,UNA Hotel Century, We liked everything , We liked the spacious room since we are a family of 4 traveling with a lot of luggage Also we liked the proximity to Milano Centrale ,9.6,"[' Leisure trip ', ' Family with young children ', ' Family Junior Suite 3 Adults 1 Child ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.484137100000005,9.2001623,2017-01-08
474226,Via Fabio Filzi 3 Central Station 20124 Milan Italy,8.3,Hotel Marconi, All good but very traditional decor , Marconi is an easy walk easy to find from the central station where we arrived from Malpensa Airport by bus Our rental car when we moved on was again an easy walk two blocks away Hertz supplied the great little Toyota which was booked through rentalcars com brilliant,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.4868744,9.2018407,2017-01-08
474482,Via Fatebenefratelli 21 Milan City Center 20121 Milan Italy,8.5,Hotel Cavour, All i thought after viewing the photos of the property that they have Jacuzzi to relax i paid extra 15 for the sala fitness only to find out that there is none , The staffs are very accommodating the location is near the city center comfy bed ,7.9,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.47269420000001,9.194391099999999,2017-07-31
474882,Via Felice Casati 18 Central Station 20124 Milan Italy,8.4,Best Western Plus Hotel Felice Casati, Rooms did not really feel too comfy but good enough to sleep Maybe I am being picky everything was fine given the price This was a good option for a low price close to the city center If you require modern extra comfy hotel pay a premium and choose some other hotels in 4 star category or just go for 5 stars, Staff were great breakfast not bad given the price location of the hotel is quite good wifi worked well if you hire a car there are a number of car parks within walking distance at Central station ,7.1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",45.4787357,9.204113099999999,2017-01-08
475184,Via Feltre 19 B Citt Studi 20132 Milan Italy,8.9,Nu Hotel, The room was very small and the bathroom needs some renovation , Breakfast was very good especially sushi rolls The design of the public areas was modern and stylish The reception staff were very friendly,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.4911829,9.2393614,2017-03-08
475299,Via Forcella 6 Navigli 20144 Milan Italy,9.0,Hotel Magna Pars Small Luxury Hotels of the World, The hotel is located in a nice neighborhood but slightly away from the city center , The hotel is beautifully designed The suites are spacious Staff is friendly and helpful ,9.6,"[' Leisure trip ', ' Group ', ' Executive Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.452487899999994,9.1669784,2017-07-23
475382,Via G Arimondi 12 Sempione 20155 Milan Italy,7.7,Mercure Milano Regency, WC is very loud you can wake up in the night because somebody washes his hands Plastic cups meld with hot coffee no sugar no tea , Personnel is very nice old and comfortable lobby,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Queen Room ', ' Stayed 4 nights ']",45.48976879999999,9.1549451,2017-05-13
475409,Via G B Pirelli 7 Central Station 20124 Milan Italy,8.2,Hotel Auriga, surroundings of the hotel homeless people old school bathroom with difficult managing of water temperature very bad almost not working airconditioning, Proximity to central station interior style of the hotel 24 hour reception,7.5,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 3 nights ']",45.485887700000006,9.204282699999998,2017-07-27
475667,Via G Silva 12 Fiera Milano City 20149 Milan Italy,7.8,Hotel Portello Gruppo Minihotel, Potentially more welcoming staff , Good location near Metro station within walking distance of the San siro Lovely breakfast selection Nice clean rooms ,9.2,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.480250299999994,9.149492500000001,2017-04-17
475738,Via Gaetano Airaghi 125 20153 Milan Italy,6.9,Idea Hotel Milano San Siro, Nevertheless location is far from perfect Despite on the map you see it as near Tangenziale it does not have straight way to it so you have to drive away 5 7 minutes before you get to any civilization The hotel itself is surrounded by dull industrial zone The parking is 8 euro per night but being located that far you expect the parking to be included in the price or free of charge The rooms need renovation We were a family of 7 people in 2 rooms and in both we experienced broken doors in douche not working lamps etc We also had broken lamellae of the additional sofa bed fixed by myself There is no kettle and tea coffee in the room and mini bar was extremely poor just two bottles of 0 5 water Breakfast is weak there was just scrambled and boiled eggs few types of sausage and very rare salad with no separate vegetables The next day of our stay the hotel was so crowded that one had to wait for even plates and cups for 15 20 minutes the same about main dishes That is really not what you expect from 4 hotel, The hotel is relatively not far from the commercial area where IKEA Auchan KIABI and other stores are located There is also a transfer to some city locations seems it is a metro station in the morning and in the evening Ostrich geese farm nearby by you cannot get close to them Desserts were rich,5.4,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",45.4720654,9.0777871,2017-02-08
